Writing Traktor file to /Users/myanguyen/CHIRP-Radio-Application/chirpradio-machine/output.nml
         248018365 function calls (246574689 primitive calls) in 123.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
       21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       63    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
        6    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
    38/31    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
       48    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
       33    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        1    0.000    0.000    0.000    0.000 _file.py:14(FileType)
      202    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
       49    0.000    0.000    0.000    0.000 typing.py:986(__setattr__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      237    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       44    0.000    0.000    0.000    0.000 _specs.py:158(__init__)
        1    0.000    0.000    0.000    0.000 os.py:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 _strptime.py:80(__calc_weekday)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
      267    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
